episode_number,season,episode_in_season,title,directed_by,written_by,air_date,us_viewers_in_millions
1,1,1,"""The Pilot""",James Burrows,David Crane & Marta Kauffman,"September 22, 1994",21.5
2,1,2,"""The One with the Sonogram at the End""",James Burrows,David Crane & Marta Kauffman,"September 29, 1994",20.2
3,1,3,"""The One with the Thumb""",James Burrows,Jeffrey Astrof & Mike Sikowitz,"October 6, 1994",19.5
4,1,4,"""The One with George Stephanopoulos""",James Burrows,Alexa Junge,"October 13, 1994",19.7
5,1,5,"""The One with the East German Laundry Detergent""",Pamela Fryman,Jeff Greenstein & Jeff Strauss,"October 20, 1994",18.6
6,1,6,"""The One with the Butt""",Arlene Sanford,Adam Chase & Ira Ungerleider,"October 27, 1994",18.2
7,1,7,"""The One with the Blackout""",James Burrows,Jeffrey Astrof & Mike Sikowitz,"November 3, 1994",23.5
8,1,8,"""The One Where Nana Dies Twice""",James Burrows,Marta Kauffman & David Crane,"November 10, 1994",21.1
9,1,9,"""The One Where Underdog Gets Away""",James Burrows,Jeff Greenstein & Jeff Strauss,"November 17, 1994",23.1
10,1,10,"""The One with the Monkey""",Peter Bonerz,Adam Chase & Ira Ungerleider,"December 15, 1994",19.9
11,1,11,"""The One with Mrs. Bing""",James Burrows,Alexa Junge,"January 5, 1995",26.6
12,1,12,"""The One with the Dozen Lasagnas""",Paul Lazarus,Jeffrey Astrof & Mike Sikowitz & Adam Chase & Ira Ungerleider,"January 12, 1995",24.0
13,1,13,"""The One with the Boobies""",Alan Myerson,Alexa Junge,"January 19, 1995",25.8
14,1,14,"""The One with the Candy Hearts""",James Burrows,Bill Lawrence,"February 9, 1995",23.8
15,1,15,"""The One with the Stoned Guy""",Alan Myerson,Jeff Greenstein & Jeff Strauss,"February 16, 1995",24.8
16,1,16,"""The One with Two Parts: Part 1""",Michael Lembeck,Marta Kauffman & David Crane,"February 23, 1995",26.1
17,1,17,"""The One with Two Parts: Part 2""",Michael Lembeck,Marta Kauffman & David Crane,"February 23, 1995",30.5
18,1,18,"""The One with All the Poker""",James Burrows,Jeffrey Astrof & Mike Sikowitz,"March 2, 1995",30.4
19,1,19,"""The One Where the Monkey Gets Away""",Peter Bonerz,Jeffrey Astrof & Mike Sikowitz,"March 9, 1995",29.4
20,1,20,"""The One with the Evil Orthodontist""",Peter Bonerz,Doty Abrams,"April 6, 1995",30.0
21,1,21,"""The One with the Fake Monica""",Gail Mancuso,Adam Chase & Ira Ungerleider,"April 27, 1995",28.4
22,1,22,"""The One with the Ick Factor""",Robby Benson,Alexa Junge,"May 4, 1995",29.9
23,1,23,"""The One with the Birth""",James Burrows,Story by : David Crane & Marta KauffmanTeleplay by : Jeff Greenstein & Jeff Strauss,"May 11, 1995",28.7
24,1,24,"""The One Where Rachel Finds Out""",Kevin S. Bright,Chris Brown,"May 18, 1995",31.3
25,2,1,"""The One with Ross's New Girlfriend""",Michael Lembeck,Jeffrey Astrof & Mike Sikowitz,"September 21, 1995",32.1
26,2,2,"""The One with the Breast Milk""",Michael Lembeck,Adam Chase & Ira Ungerleider,"September 28, 1995",29.8
27,2,3,"""The One Where Heckles Dies""",Kevin S. Bright,Michael Curtis & Gregory S. Malins,"October 5, 1995",30.2
28,2,4,"""The One with Phoebe's Husband""",Gail Mancuso,Alexa Junge,"October 12, 1995",28.1
29,2,5,"""The One with Five Steaks and an Eggplant""",Ellen Gittelsohn,Chris Brown,"October 19, 1995",28.3
30,2,6,"""The One with the Baby on the Bus""",Gail Mancuso,Betsy Borns,"November 2, 1995",30.2
31,2,7,"""The One Where Ross Finds Out""",Peter Bonerz,Michael Borkow,"November 9, 1995",30.5
32,2,8,"""The One with the List""",Mary Kay Place,David Crane & Marta Kauffman,"November 16, 1995",32.9
33,2,9,"""The One with Phoebe's Dad""",Kevin S. Bright,Jeffrey Astrof & Mike Sikowitz,"December 14, 1995",27.8
