value,abbr,offset,isdst,text,utc/0,utc/1,utc/2,utc/3,utc/4,utc/5,utc/6,utc/7,utc/8,utc/9,utc/10,utc/11,utc/12,utc/13,utc/14,utc/15,utc/16,utc/17,utc/18,utc/19,utc/20,utc/21,utc/22,utc/23,utc/24,utc/25,utc/26,utc/27,utc/28,utc/29
Dateline Standard Time,DST,-12,false,(UTC-12:00) International Date Line West,Etc/GMT+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTC-11,U,-11,false,(UTC-11:00) Coordinated Universal Time-11,Etc/GMT+11,Pacific/Midway,Pacific/Niue,Pacific/Pago_Pago,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaiian Standard Time,HST,-10,false,(UTC-10:00) Hawaii,Etc/GMT+10,Pacific/Honolulu,Pacific/Johnston,Pacific/Rarotonga,Pacific/Tahiti,,,,,,,,,,,,,,,,,,,,,,,,,
Alaskan Standard Time,AKDT,-8,true,(UTC-09:00) Alaska,America/Anchorage,America/Juneau,America/Nome,America/Sitka,America/Yakutat,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific Standard Time (Mexico),PDT,-7,true,(UTC-08:00) Baja California,America/Santa_Isabel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific Daylight Time,PDT,-7,true,(UTC-07:00) Pacific Time (US & Canada),America/Dawson,America/Los_Angeles,America/Tijuana,America/Vancouver,America/Whitehorse,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific Standard Time,PST,-8,false,(UTC-08:00) Pacific Time (US & Canada),America/Dawson,America/Los_Angeles,America/Tijuana,America/Vancouver,America/Whitehorse,PST8PDT,,,,,,,,,,,,,,,,,,,,,,,,
US Mountain Standard Time,UMST,-7,false,(UTC-07:00) Arizona,America/Creston,America/Dawson_Creek,America/Hermosillo,America/Phoenix,Etc/GMT+7,,,,,,,,,,,,,,,,,,,,,,,,,
Mountain Standard Time (Mexico),MDT,-6,true,"(UTC-07:00) Chihuahua, La Paz, Mazatlan",America/Chihuahua,America/Mazatlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mountain Standard Time,MDT,-6,true,(UTC-07:00) Mountain Time (US & Canada),America/Boise,America/Cambridge_Bay,America/Denver,America/Edmonton,America/Inuvik,America/Ojinaga,America/Yellowknife,MST7MDT,,,,,,,,,,,,,,,,,,,,,,
Central America Standard Time,CAST,-6,false,(UTC-06:00) Central America,America/Belize,America/Costa_Rica,America/El_Salvador,America/Guatemala,America/Managua,America/Tegucigalpa,Etc/GMT+6,Pacific/Galapagos,,,,,,,,,,,,,,,,,,,,,,
Central Standard Time,CDT,-5,true,(UTC-06:00) Central Time (US & Canada),America/Chicago,America/Indiana/Knox,America/Indiana/Tell_City,America/Matamoros,America/Menominee,America/North_Dakota/Beulah,America/North_Dakota/Center,America/North_Dakota/New_Salem,America/Rainy_River,America/Rankin_Inlet,America/Resolute,America/Winnipeg,CST6CDT,,,,,,,,,,,,,,,,,
Central Standard Time (Mexico),CDT,-5,true,"(UTC-06:00) Guadalajara, Mexico City, Monterrey",America/Bahia_Banderas,America/Cancun,America/Merida,America/Mexico_City,America/Monterrey,,,,,,,,,,,,,,,,,,,,,,,,,
Canada Central Standard Time,CCST,-6,false,(UTC-06:00) Saskatchewan,America/Regina,America/Swift_Current,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA Pacific Standard Time,SPST,-5,false,"(UTC-05:00) Bogota, Lima, Quito",America/Bogota,America/Cayman,America/Coral_Harbour,America/Eirunepe,America/Guayaquil,America/Jamaica,America/Lima,America/Panama,America/Rio_Branco,Etc/GMT+5,,,,,,,,,,,,,,,,,,,,
Eastern Standard Time,EDT,-4,true,(UTC-05:00) Eastern Time (US & Canada),America/Detroit,America/Havana,America/Indiana/Petersburg,America/Indiana/Vincennes,America/Indiana/Winamac,America/Iqaluit,America/Kentucky/Monticello,America/Louisville,America/Montreal,America/Nassau,America/New_York,America/Nipigon,America/Pangnirtung,America/Port-au-Prince,America/Thunder_Bay,America/Toronto,EST5EDT,,,,,,,,,,,,,
US Eastern Standard Time,UEDT,-4,true,(UTC-05:00) Indiana (East),America/Indiana/Marengo,America/Indiana/Vevay,America/Indianapolis,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela Standard Time,VST,-4.5,false,(UTC-04:30) Caracas,America/Caracas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay Standard Time,PYT,-4,false,(UTC-04:00) Asuncion,America/Asuncion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic Standard Time,ADT,-3,true,(UTC-04:00) Atlantic Time (Canada),America/Glace_Bay,America/Goose_Bay,America/Halifax,America/Moncton,America/Thule,Atlantic/Bermuda,,,,,,,,,,,,,,,,,,,,,,,,
Central Brazilian Standard Time,CBST,-4,false,(UTC-04:00) Cuiaba,America/Campo_Grande,America/Cuiaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA Western Standard Time,SWST,-4,false,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",America/Anguilla,America/Antigua,America/Aruba,America/Barbados,America/Blanc-Sablon,America/Boa_Vista,America/Curacao,America/Dominica,America/Grand_Turk,America/Grenada,America/Guadeloupe,America/Guyana,America/Kralendijk,America/La_Paz,America/Lower_Princes,America/Manaus,America/Marigot,America/Martinique,America/Montserrat,America/Port_of_Spain,America/Porto_Velho,America/Puerto_Rico,America/Santo_Domingo,America/St_Barthelemy,America/St_Kitts,America/St_Lucia,America/St_Thomas,America/St_Vincent,America/Tortola,Etc/GMT+4
Pacific SA Standard Time,PSST,-4,false,(UTC-04:00) Santiago,America/Santiago,Antarctica/Palmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newfoundland Standard Time,NDT,-2.5,true,(UTC-03:30) Newfoundland,America/St_Johns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E. South America Standard Time,ESAST,-3,false,(UTC-03:00) Brasilia,America/Sao_Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina Standard Time,AST,-3,false,(UTC-03:00) Buenos Aires,America/Argentina/La_Rioja,America/Argentina/Rio_Gallegos,America/Argentina/Salta,America/Argentina/San_Juan,America/Argentina/San_Luis,America/Argentina/Tucuman,America/Argentina/Ushuaia,America/Buenos_Aires,America/Catamarca,America/Cordoba,America/Jujuy,America/Mendoza,,,,,,,,,,,,,,,,,,
SA Eastern Standard Time,SEST,-3,false,"(UTC-03:00) Cayenne, Fortaleza",America/Araguaina,America/Belem,America/Cayenne,America/Fortaleza,America/Maceio,America/Paramaribo,America/Recife,America/Santarem,Antarctica/Rothera,Atlantic/Stanley,Etc/GMT+3,,,,,,,,,,,,,,,,,,,
Greenland Standard Time,GDT,-3,true,(UTC-03:00) Greenland,America/Godthab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montevideo Standard Time,MST,-3,false,(UTC-03:00) Montevideo,America/Montevideo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahia Standard Time,BST,-3,false,(UTC-03:00) Salvador,America/Bahia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTC-02,U,-2,false,(UTC-02:00) Coordinated Universal Time-02,America/Noronha,Atlantic/South_Georgia,Etc/GMT+2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid-Atlantic Standard Time,MDT,-1,true,(UTC-02:00) Mid-Atlantic - Old,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azores Standard Time,ADT,0,true,(UTC-01:00) Azores,America/Scoresbysund,Atlantic/Azores,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde Standard Time,CVST,-1,false,(UTC-01:00) Cape Verde Is.,Atlantic/Cape_Verde,Etc/GMT+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco Standard Time,MDT,1,true,(UTC) Casablanca,Africa/Casablanca,Africa/El_Aaiun,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTC,UTC,0,false,(UTC) Coordinated Universal Time,America/Danmarkshavn,Etc/GMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMT Standard Time,GMT,0,false,"(UTC) Edinburgh, London",Europe/Isle_of_Man,Europe/Guernsey,Europe/Jersey,Europe/London,,,,,,,,,,,,,,,,,,,,,,,,,,
British Summer Time,BST,1,true,"(UTC+01:00) Edinburgh, London",Europe/Isle_of_Man,Europe/Guernsey,Europe/Jersey,Europe/London,,,,,,,,,,,,,,,,,,,,,,,,,,
GMT Standard Time,GDT,1,true,"(UTC) Dublin, Lisbon",Atlantic/Canary,Atlantic/Faeroe,Atlantic/Madeira,Europe/Dublin,Europe/Lisbon,,,,,,,,,,,,,,,,,,,,,,,,,
Greenwich Standard Time,GST,0,false,"(UTC) Monrovia, Reykjavik",Africa/Abidjan,Africa/Accra,Africa/Bamako,Africa/Banjul,Africa/Bissau,Africa/Conakry,Africa/Dakar,Africa/Freetown,Africa/Lome,Africa/Monrovia,Africa/Nouakchott,Africa/Ouagadougou,Africa/Sao_Tome,Atlantic/Reykjavik,Atlantic/St_Helena,,,,,,,,,,,,,,,
W. Europe Standard Time,WEDT,2,true,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Arctic/Longyearbyen,Europe/Amsterdam,Europe/Andorra,Europe/Berlin,Europe/Busingen,Europe/Gibraltar,Europe/Luxembourg,Europe/Malta,Europe/Monaco,Europe/Oslo,Europe/Rome,Europe/San_Marino,Europe/Stockholm,Europe/Vaduz,Europe/Vatican,Europe/Vienna,Europe/Zurich,,,,,,,,,,,,,
Central Europe Standard Time,CEDT,2,true,"(UTC+01:00) Belgrade, Bratislava, Budapest, Ljubljana, Prague",Europe/Belgrade,Europe/Bratislava,Europe/Budapest,Europe/Ljubljana,Europe/Podgorica,Europe/Prague,Europe/Tirane,,,,,,,,,,,,,,,,,,,,,,,
Romance Standard Time,RDT,2,true,"(UTC+01:00) Brussels, Copenhagen, Madrid, Paris",Africa/Ceuta,Europe/Brussels,Europe/Copenhagen,Europe/Madrid,Europe/Paris,,,,,,,,,,,,,,,,,,,,,,,,,
Central European Standard Time,CEDT,2,true,"(UTC+01:00) Sarajevo, Skopje, Warsaw, Zagreb",Europe/Sarajevo,Europe/Skopje,Europe/Warsaw,Europe/Zagreb,,,,,,,,,,,,,,,,,,,,,,,,,,
W. Central Africa Standard Time,WCAST,1,false,(UTC+01:00) West Central Africa,Africa/Algiers,Africa/Bangui,Africa/Brazzaville,Africa/Douala,Africa/Kinshasa,Africa/Lagos,Africa/Libreville,Africa/Luanda,Africa/Malabo,Africa/Ndjamena,Africa/Niamey,Africa/Porto-Novo,Africa/Tunis,Etc/GMT-1,,,,,,,,,,,,,,,,
Namibia Standard Time,NST,1,false,(UTC+01:00) Windhoek,Africa/Windhoek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTB Standard Time,GDT,3,true,"(UTC+02:00) Athens, Bucharest",Asia/Nicosia,Europe/Athens,Europe/Bucharest,Europe/Chisinau,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East Standard Time,MEDT,3,true,(UTC+02:00) Beirut,Asia/Beirut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt Standard Time,EST,2,false,(UTC+02:00) Cairo,Africa/Cairo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syria Standard Time,SDT,3,true,(UTC+02:00) Damascus,Asia/Damascus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E. Europe Standard Time,EEDT,3,true,(UTC+02:00) E. Europe,Asia/Nicosia,Europe/Athens,Europe/Bucharest,Europe/Chisinau,Europe/Helsinki,Europe/Kiev,Europe/Mariehamn,Europe/Nicosia,Europe/Riga,Europe/Sofia,Europe/Tallinn,Europe/Uzhgorod,Europe/Vilnius,Europe/Zaporozhye,,,,,,,,,,,,,,,,
South Africa Standard Time,SAST,2,false,"(UTC+02:00) Harare, Pretoria",Africa/Blantyre,Africa/Bujumbura,Africa/Gaborone,Africa/Harare,Africa/Johannesburg,Africa/Kigali,Africa/Lubumbashi,Africa/Lusaka,Africa/Maputo,Africa/Maseru,Africa/Mbabane,Etc/GMT-2,,,,,,,,,,,,,,,,,,
FLE Standard Time,FDT,3,true,"(UTC+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",Europe/Helsinki,Europe/Kiev,Europe/Mariehamn,Europe/Riga,Europe/Sofia,Europe/Tallinn,Europe/Uzhgorod,Europe/Vilnius,Europe/Zaporozhye,,,,,,,,,,,,,,,,,,,,,
Turkey Standard Time,TDT,3,false,(UTC+03:00) Istanbul,Europe/Istanbul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel Standard Time,JDT,3,true,(UTC+02:00) Jerusalem,Asia/Jerusalem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libya Standard Time,LST,2,false,(UTC+02:00) Tripoli,Africa/Tripoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Standard Time,JST,3,false,(UTC+03:00) Amman,Asia/Amman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabic Standard Time,AST,3,false,(UTC+03:00) Baghdad,Asia/Baghdad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaliningrad Standard Time,KST,3,false,(UTC+02:00) Kaliningrad,Europe/Kaliningrad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab Standard Time,AST,3,false,"(UTC+03:00) Kuwait, Riyadh",Asia/Aden,Asia/Bahrain,Asia/Kuwait,Asia/Qatar,Asia/Riyadh,,,,,,,,,,,,,,,,,,,,,,,,,
E. Africa Standard Time,EAST,3,false,(UTC+03:00) Nairobi,Africa/Addis_Ababa,Africa/Asmera,Africa/Dar_es_Salaam,Africa/Djibouti,Africa/Juba,Africa/Kampala,Africa/Khartoum,Africa/Mogadishu,Africa/Nairobi,Antarctica/Syowa,Etc/GMT-3,Indian/Antananarivo,Indian/Comoro,Indian/Mayotte,,,,,,,,,,,,,,,,
Moscow Standard Time,MSK,3,false,"(UTC+03:00) Moscow, St. Petersburg, Volgograd, Minsk",Europe/Kirov,Europe/Moscow,Europe/Simferopol,Europe/Volgograd,Europe/Minsk,,,,,,,,,,,,,,,,,,,,,,,,,
Samara Time,SAMT,4,false,"(UTC+04:00) Samara, Ulyanovsk, Saratov",Europe/Astrakhan,Europe/Samara,Europe/Ulyanovsk,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran Standard Time,IDT,4.5,true,(UTC+03:30) Tehran,Asia/Tehran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabian Standard Time,AST,4,false,"(UTC+04:00) Abu Dhabi, Muscat",Asia/Dubai,Asia/Muscat,Etc/GMT-4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan Standard Time,ADT,5,true,(UTC+04:00) Baku,Asia/Baku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritius Standard Time,MST,4,false,(UTC+04:00) Port Louis,Indian/Mahe,Indian/Mauritius,Indian/Reunion,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgian Standard Time,GET,4,false,(UTC+04:00) Tbilisi,Asia/Tbilisi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caucasus Standard Time,CST,4,false,(UTC+04:00) Yerevan,Asia/Yerevan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan Standard Time,AST,4.5,false,(UTC+04:30) Kabul,Asia/Kabul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
