name,atomic_mass,category,density,melt,molar_heat,number,period,phase,symbol,xpos,ypos,shells
Hydrogen,1.008,diatomic nonmetal,0.08988,13.99,28.836,1,1,Gas,H,1,1,[1]
Helium,4.0026022,noble gas,0.1786,0.95,null,2,1,Gas,He,18,1,[2]
Lithium,6.94,alkali metal,0.534,453.65,24.86,3,2,Solid,Li,1,2,"[2,1]"
Beryllium,9.01218315,alkaline earth metal,1.85,1560,16.443,4,2,Solid,Be,2,2,"[2,2]"
Boron,10.81,metalloid,2.08,2349,11.087,5,2,Solid,B,13,2,"[2,3]"
Carbon,12.011,polyatomic nonmetal,1.821,null,8.517,6,2,Solid,C,14,2,"[2,4]"
Nitrogen,14.007,diatomic nonmetal,1.251,63.15,null,7,2,Gas,N,15,2,"[2,5]"
Oxygen,15.999,diatomic nonmetal,1.429,54.36,null,8,2,Gas,O,16,2,"[2,6]"
Fluorine,18.9984031636,diatomic nonmetal,1.696,53.48,null,9,2,Gas,F,17,2,"[2,7]"
Neon,20.17976,noble gas,0.9002,24.56,null,10,2,Gas,Ne,18,2,"[2,8]"
Sodium,22.989769282,alkali metal,0.968,370.944,28.23,11,3,Solid,Na,1,3,"[2,8,1]"
Magnesium,24.305,alkaline earth metal,1.738,923,24.869,12,3,Solid,Mg,2,3,"[2,8,2]"
Aluminium,26.98153857,post-transition metal,2.7,933.47,24.2,13,3,Solid,Al,13,3,"[2,8,3]"
Silicon,28.085,metalloid,2.329,1687,19.789,14,3,Solid,Si,14,3,"[2,8,4]"
Phosphorus,30.9737619985,polyatomic nonmetal,1.823,null,23.824,15,3,Solid,P,15,3,"[2,8,5]"
Sulfur,32.06,polyatomic nonmetal,2.07,388.36,22.75,16,3,Solid,S,16,3,"[2,8,6]"
Chlorine,35.45,diatomic nonmetal,3.2,171.6,null,17,3,Gas,Cl,17,3,"[2,8,7]"
Argon,39.9481,noble gas,1.784,83.81,null,18,3,Gas,Ar,18,3,"[2,8,8]"
Potassium,39.09831,alkali metal,0.862,336.7,29.6,19,4,Solid,K,1,4,"[2,8,8,1]"
Calcium,40.0784,alkaline earth metal,1.55,1115,25.929,20,4,Solid,Ca,2,4,"[2,8,8,2]"
Scandium,44.9559085,transition metal,2.985,1814,25.52,21,4,Solid,Sc,3,4,"[2,8,9,2]"
Titanium,47.8671,transition metal,4.506,1941,25.06,22,4,Solid,Ti,4,4,"[2,8,10,2]"
Vanadium,50.94151,transition metal,6,2183,24.89,23,4,Solid,V,5,4,"[2,8,11,2]"
Chromium,51.99616,transition metal,7.19,2180,23.35,24,4,Solid,Cr,6,4,"[2,8,13,1]"
Manganese,54.9380443,transition metal,7.21,1519,26.32,25,4,Solid,Mn,7,4,"[2,8,13,2]"
Iron,55.8452,transition metal,7.874,1811,25.1,26,4,Solid,Fe,8,4,"[2,8,14,2]"
Cobalt,58.9331944,transition metal,8.9,1768,24.81,27,4,Solid,Co,9,4,"[2,8,15,2]"
Nickel,58.69344,transition metal,8.908,1728,26.07,28,4,Solid,Ni,10,4,"[2,8,16,2]"
Copper,63.5463,transition metal,8.96,1357.77,24.44,29,4,Solid,Cu,11,4,"[2,8,18,1]"
Zinc,65.382,transition metal,7.14,692.68,25.47,30,4,Solid,Zn,12,4,"[2,8,18,2]"
Gallium,69.7231,post-transition metal,5.91,302.9146,25.86,31,4,Solid,Ga,13,4,"[2,8,18,3]"
Germanium,72.6308,metalloid,5.323,1211.4,23.222,32,4,Solid,Ge,14,4,"[2,8,18,4]"
Arsenic,74.9215956,metalloid,5.727,null,24.64,33,4,Solid,As,15,4,"[2,8,18,5]"
Selenium,78.9718,polyatomic nonmetal,4.81,494,25.363,34,4,Solid,Se,16,4,"[2,8,18,6]"
Bromine,79.904,diatomic nonmetal,3.1028,265.8,null,35,4,Liquid,Br,17,4,"[2,8,18,7]"
Krypton,83.7982,noble gas,3.749,115.78,null,36,4,Gas,Kr,18,4,"[2,8,18,8]"
Rubidium,85.46783,alkali metal,1.532,312.45,31.06,37,5,Solid,Rb,1,5,"[2,8,18,8,1]"
Strontium,87.621,alkaline earth metal,2.64,1050,26.4,38,5,Solid,Sr,2,5,"[2,8,18,8,2]"
Yttrium,88.905842,transition metal,4.472,1799,26.53,39,5,Solid,Y,3,5,"[2,8,18,9,2]"
Zirconium,91.2242,transition metal,6.52,2128,25.36,40,5,Solid,Zr,4,5,"[2,8,18,10,2]"
Niobium,92.906372,transition metal,8.57,2750,24.6,41,5,Solid,Nb,5,5,"[2,8,18,12,1]"
Molybdenum,95.951,transition metal,10.28,2896,24.06,42,5,Solid,Mo,6,5,"[2,8,18,13,1]"
Technetium,98,transition metal,11,2430,24.27,43,5,Solid,Tc,7,5,"[2,8,18,13,2]"
Ruthenium,101.072,transition metal,12.45,2607,24.06,44,5,Solid,Ru,8,5,"[2,8,18,15,1]"
